planner,num_agents,num_robots,f,d,sigma,active_time,planner_time,damage,num_disabled
StochasticIterativePlanner,100,2,2.0,5,1,228.1801904435735,0.3307020664215088,19930.294449211015,26.42
StochasticIterativePlanner,100,2,2.0,5,1,224.29978692779187,0.3160099983215332,19865.223225734986,26.338
StochasticIterativePlanner,100,3,2.0,5,1,211.07212024041493,0.4059641361236572,17847.669575366046,40.673
StochasticIterativePlanner,100,3,2.0,5,1,212.2185012981397,0.39480090141296387,18630.4264790649,35.44100000000001
StochasticIterativePlanner,100,3,2.0,5,1,217.13628814772844,0.3788931369781494,18350.467732430887,34.472
StochasticIterativePlanner,100,4,2.0,5,1,207.16213439977253,0.41321587562561035,17231.765730708365,44.223000000000006
StochasticIterativePlanner,100,4,2.0,5,1,200.50822156018808,0.41558098793029785,17169.032523724556,43.924
StochasticIterativePlanner,100,4,2.0,5,1,203.16259007959036,0.4282341003417969,16564.70310741746,45.22499999999999
StochasticIterativePlanner,100,5,2.0,5,1,205.76929654144246,0.4262218475341797,17130.515956850893,44.50699999999998
StochasticIterativePlanner,100,5,2.0,5,1,202.0458263068025,0.43004488945007324,16301.118345877983,46.29999999999999
StochasticIterativePlanner,100,5,2.0,5,1,189.11403842829606,0.428210973739624,15907.320099962173,47.07499999999999
StochasticIterativePlanner,100,6,2.0,5,1,207.45131348653007,0.43260812759399414,16491.072016126374,46.25900000000001
StochasticIterativePlanner,100,6,2.0,5,1,170.82584678649582,0.4258298873901367,15816.228191798862,47.680000000000014
StochasticIterativePlanner,100,6,2.0,5,1,164.08468969955615,0.43068408966064453,15600.673716676476,47.92599999999999
StochasticIterativePlanner,100,7,2.0,5,1,190.91750899892622,0.45734190940856934,16156.706337777978,47.22100000000004
StochasticIterativePlanner,100,7,2.0,5,1,159.47084755898715,0.5110387802124023,15732.402000958204,47.90800000000001
StochasticIterativePlanner,100,7,2.0,5,1,149.97096523499218,0.4906907081604004,15154.426248637988,49.214999999999996
StochasticIterativePlanner,100,8,2.0,5,1,185.57448355180082,0.47081494331359863,15347.41163308824,49.512000000000015
StochasticIterativePlanner,100,8,2.0,5,1,164.5901731475144,0.47316408157348633,15662.858071000679,48.123999999999995
StochasticIterativePlanner,100,8,2.0,5,1,148.23471404053157,0.4849278926849365,15033.782980620834,49.576
StochasticIterativePlanner,100,2,2.0,5,1,229.30691954191718,0.4005320072174072,19920.709273525925,29.450000000000003
StochasticIterativePlanner,100,2,2.0,5,1,228.1801904435735,0.35616111755371094,19930.294449211015,26.42
StochasticIterativePlanner,100,2,2.0,5,1,224.29978692779187,0.3472750186920166,19865.223225734986,26.338
StochasticIterativePlanner,100,3,2.0,5,1,211.07212024041493,0.4342470169067383,17847.669575366046,40.673
StochasticIterativePlanner,100,3,2.0,5,1,212.2185012981397,0.42488789558410645,18630.4264790649,35.44100000000001
StochasticIterativePlanner,100,3,2.0,5,1,217.13628814772844,0.40940189361572266,18350.467732430887,34.472
StochasticIterativePlanner,100,4,2.0,5,1,207.16213439977253,0.4337809085845947,17231.765730708365,44.223000000000006
StochasticIterativePlanner,100,4,2.0,5,1,200.50822156018808,0.4310648441314697,17169.032523724556,43.924
StochasticIterativePlanner,100,4,2.0,5,1,203.16259007959036,0.43981385231018066,16564.70310741746,45.22499999999999
StochasticIterativePlanner,100,5,2.0,5,1,205.76929654144246,0.4462118148803711,17130.515956850893,44.50699999999998
StochasticIterativePlanner,100,5,2.0,5,1,202.0458263068025,0.420961856842041,16301.118345877983,46.29999999999999
StochasticIterativePlanner,100,5,2.0,5,1,189.11403842829606,0.4492361545562744,15907.320099962173,47.07499999999999
StochasticIterativePlanner,100,6,2.0,5,1,207.45131348653007,0.4488840103149414,16491.072016126374,46.25900000000001
